player_id,player,pos,nfl_team,age,asset_type,position_rank,tier,final_board_rank,dynasty_rank,emergency_candidate_rank,emergency_candidate_value,tuned_cross_asset_rank,tuned_cross_asset_value,direction_vs_frozen_rank,direction_vs_emergency_candidate_rank,confidence_band,value_band,tuned_value_basis,uncertainty_reasons,adp,available_pool_adp_rank,available_pool_adp_range,outcome_applicable_summary,main_reason_to_draft,main_reason_to_pass,human_review_flag
,Sieh Bangura,RB,needs_data,Not enough information,rookie,12,Tier 2 - Strong Draft Considers,27,,40,17.7,36,4.85,down meaningfully vs frozen,slightly changed vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+29.5; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
,Chris Brazzell,WR,CAR,Not enough information,rookie,16,Tier 2 - Strong Draft Considers,28,,30,20.95,37,2.7,down meaningfully vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+29.2; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,150.0,147,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Robert Henry Jr.,RB,WAS,Not enough information,rookie,13,Tier 2 - Strong Draft Considers,29,,41,17.2,38,0.55,down meaningfully vs frozen,slightly changed vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+29.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Seth McGowan,RB,IND,Not enough information,rookie,14,Tier 2 - Strong Draft Considers,30,,32,20.45,39,0.0,down meaningfully vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+28.8; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+7.3,331.5,238,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Jacob De Jesus,WR,needs_data,Not enough information,rookie,18,Tier 3 - Value/Need Dependent,32,,36,19.2,40,0.0,down meaningfully vs frozen,slightly changed vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+28.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.0; uncertainty_penalty=+10.8,999.0,251,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
,Omar Cooper,WR,NYJ,Not enough information,rookie,19,Tier 3 - Value/Need Dependent,33,,34,19.95,41,0.0,down meaningfully vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+28.2; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,85.5,83,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Dominic Richardson,RB,DAL,Not enough information,rookie,15,Tier 3 - Value/Need Dependent,35,,44,16.2,42,0.0,down modestly vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+28.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,999.0,254,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Devin Voisin,WR,needs_data,Not enough information,rookie,21,Tier 3 - Value/Need Dependent,36,,38,18.45,43,0.0,down modestly vs frozen,down vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+27.8; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.0; uncertainty_penalty=+10.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
,Hank Beatty,WR,TEN,Not enough information,rookie,22,Tier 3 - Value/Need Dependent,37,,35,19.2,44,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+27.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,999.0,252,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,O'Mega Blake,WR,needs_data,Not enough information,rookie,23,Tier 3 - Value/Need Dependent,38,,37,18.95,45,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+27.2; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,352.5,243,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|team_or_role_review|outcome_gap
,Emmanuel Henderson,WR,SEA,Not enough information,rookie,24,Tier 3 - Value/Need Dependent,39,,42,16.7,46,0.0,down modestly vs frozen,slightly changed vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+25.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,357.0,244,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Roman Hemby,RB,LV,Not enough information,rookie,16,Tier 3 - Value/Need Dependent,41,,54,12.95,47,0.0,down modestly vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+24.8; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,271.5,234,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Chase Roberts,WR,LV,Not enough information,rookie,26,Tier 3 - Value/Need Dependent,43,,43,16.2,48,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+24.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,999.0,255,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Barika Kpeenu,RB,needs_data,Not enough information,rookie,17,Tier 3 - Value/Need Dependent,44,,55,12.45,49,0.0,down modestly vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+24.2; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
,Jordan Hudson,WR,DAL,Not enough information,rookie,27,Tier 3 - Value/Need Dependent,45,,45,15.7,50,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+24.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,379.4,247,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Kevin Coleman,WR,MIA,Not enough information,rookie,28,Tier 3 - Value/Need Dependent,46,,46,15.45,51,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+23.8; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,220.2,207,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Donaven Mcculley,WR,MIA,Not enough information,rookie,30,Tier 3 - Value/Need Dependent,48,,47,15.2,52,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+23.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,999.0,256,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Caullin Lacy,WR,NYJ,Not enough information,rookie,31,Tier 3 - Value/Need Dependent,49,,49,14.95,53,0.0,down modestly vs frozen,slightly changed vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+23.2; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,999.0,257,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Deion Burks,WR,IND,Not enough information,rookie,32,Tier 3 - Value/Need Dependent,50,,64,3.2,54,0.0,down modestly vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+23.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+18.8,264.7,231,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Trebor Pena,WR,JAC,Not enough information,rookie,33,Tier 4 - Manual Review / Discount Only,51,,50,14.45,55,0.0,down modestly vs frozen,down vs emergency,Medium-low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+22.8; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,339.1,239,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Braylon James,WR,needs_data,Not enough information,rookie,34,Tier 4 - Manual Review / Discount Only,52,,62,5.2,56,0.0,down modestly vs frozen,up vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+22.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.0; uncertainty_penalty=+18.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
,Jordyn Tyson,WR,NO,Not enough information,rookie,35,Tier 4 - Manual Review / Discount Only,53,,53,13.45,57,0.0,down modestly vs frozen,slightly changed vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+22.2; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+10.8,52.1,51,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Eli Stowers,TE,PHI,Not enough information,rookie,1,Tier 4 - Manual Review / Discount Only,55,,48,15.0,58,0.0,down modestly vs frozen,down vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+22.0; age_curve_component=-1.0; position_scarcity_component=+0.8; role_evidence_component=+1.0; uncertainty_penalty=+7.8,108.3,107,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Kaelon Black,RB,SF,Not enough information,rookie,19,Tier 4 - Manual Review / Discount Only,56,,58,9.95,59,0.0,down modestly vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+21.8; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,215.0,203,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Sam Roush,TE,CHI,Not enough information,rookie,2,Tier 4 - Manual Review / Discount Only,57,,52,13.5,60,0.0,down modestly vs frozen,down vs emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+21.5; age_curve_component=-1.0; position_scarcity_component=+0.8; uncertainty_penalty=+7.8,350.0,242,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Jamal Haynes,RB,CIN,Not enough information,rookie,20,Tier 4 - Manual Review / Discount Only,58,,59,9.45,61,0.0,down modestly vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+21.2; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,999.0,265,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|outcome_gap
,Jamarion Miller,RB,needs_data,Not enough information,rookie,21,Tier 4 - Manual Review / Discount Only,59,,60,9.2,62,0.0,down modestly vs frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+21.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=-2.5; uncertainty_penalty=+10.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
,Chip Trayanum,RB,needs_data,Not enough information,rookie,22,Tier 4 - Manual Review / Discount Only,61,,61,5.95,63,0.0,similar to frozen,similar to emergency,Low,Hold / low confidence,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+20.8; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+2.5; uncertainty_penalty=+18.8,Not enough information,Not enough information,Not enough information,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
1479.0,Keenan Allen,WR,UNKNOWN,34.2,dropped_veteran,38,Tier 4 - Manual Review / Discount Only,64,124.0,65,0.94,64,0.0,similar to frozen,similar to emergency,Low,Hold / low confidence,full_dynasty_anchor_plus_frozen_context; older_or_role_uncertainty_constraint,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+17.2; age_curve_component=-8.0; position_scarcity_component=+1.5; uncertainty_penalty=+9.8,272.6,235,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
8183.0,Brock Purdy,QB,SF,26.5,dropped_veteran,3,Tier 4 - Manual Review / Discount Only,65,185.0,63,3.34,65,0.0,similar to frozen,similar to emergency,Medium,Hold / low confidence,full_dynasty_anchor_plus_frozen_context,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+11.3; age_curve_component=+1.0; position_scarcity_component=-6.0; role_evidence_component=+0.8; uncertainty_penalty=+3.8,76.2,75,Depth / later,Not enough information,Established QB anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,10-team 1QB format reduces cross-asset urgency unless the QB is clearly elite.,outcome_gap
2505.0,Darren Waller,TE,UNKNOWN,33.8,dropped_veteran,3,Tier 4 - Manual Review / Discount Only,66,226.0,66,0.0,66,0.0,similar to frozen,similar to emergency,Low,Hold / low confidence,full_dynasty_anchor_plus_frozen_context; older_or_role_uncertainty_constraint,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+5.8; age_curve_component=-7.0; position_scarcity_component=+0.8; uncertainty_penalty=+9.8,999.0,277,Depth / later,Not enough information,Established TE anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|manual_review|team_or_role_review|outcome_gap
