canonical_universe_id,source_row_ids,player_id,player_name,normalized_name,position,nfl_team,age,age_source,player_type,availability_status,rank_source,dynasty_rank,rookie_rank,frozen_baseline_rank,candidate_rank,unified_display_rank,unified_display_rank_source,tier,tier_source,outcome_context,outcome_status,market_match_status,dp_1qb_value,dp_market_rank,nwr_vs_market_gap,data_quality_status,manual_review_flag,review_status,consolidation_status,consolidation_confidence,conflict_flags,caveats,source_layers,source_files,app_wiring_allowed,model_input_allowed
consolidated-7523,veteran-7523,7523,Trevor Lawrence,trevor lawrence,QB,JAX,26.7,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,28,,,,28,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,2540,60.4,-32.4,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"one_qb_context_balance_upper_band_guard_v2 | one qb context balance upper band guard v2 | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-5045,veteran-5045,5045,Courtland Sutton,courtland sutton,WR,DEN,30.7,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,29,,,,29,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,1004,99.9,-70.9,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|wr_dynasty_age_curve_after_30_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | wr dynasty age curve after 30 active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13418,rookie-13418,13418,Robert Henry Jr.,robert henry jr,RB,WAS,24.5,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,29,,,29,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,MATCHED,4,336.8,-300.8,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Does Robert Henry Jr. have a credible early-down, goal-line, or first-down role path? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13424,rookie-13424,13424,Seth McGowan,seth mcgowan,RB,IND,24.7,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,30,,,30,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,MATCHED,16,275,-238,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Does Seth McGowan have a credible early-down, goal-line, or first-down role path? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-12526,veteran-12526,12526,Tetairoa McMillan,tetairoa mcmillan,WR,CAR,23.2,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,30,,,,30,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,6563,20,10,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-8155,veteran-8155,8155,Breece Hall,breece hall,RB,NYJ,25.1,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,31,,,,31,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,5808,25.2,5.8,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13904,rookie-13904,13904,Jacob De Jesus,jacob de jesus,WR,needs_data,Not enough information,Not enough information,ROOKIE,rookie_pool,ROOKIE_RANK,,31,,,31,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,UNMATCHED,,,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Is Jacob De Jesus's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-5850,veteran-5850,5850,Josh Jacobs,josh jacobs,RB,GB,28.4,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,32,,,,32,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,1679,78,-46,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|rb_dynasty_age_curve_after_27_active|rb_age_window_caution_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | rb dynasty age curve after 27 active | rb age window caution active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13276,rookie-13276,13276,Omar Cooper,omar cooper,WR,NYJ,22.5,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,32,,,32,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,MATCHED,1180,93,-55,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Does Omar Cooper have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13725,rookie-13725,13725,Dominic Richardson,dominic richardson,RB,DAL,Not enough information,Not enough information,ROOKIE,rookie_pool,ROOKIE_RANK,,33,,,33,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,UNMATCHED,,,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Does Dominic Richardson have a credible early-down, goal-line, or first-down role path? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-7526,veteran-7526,7526,Jaylen Waddle,jaylen waddle,WR,DEN,27.6,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,33,,,,33,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,4329,37.7,-4.7,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_team_status_warning | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Current team/status was repaired from local RotoWire source context. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-devin_voisin-wr-rookie-devin_voisin-wr-33,rookie-devin_voisin-wr-33,,Devin Voisin,devin voisin,WR,needs_data,Not enough information,Not enough information,ROOKIE,rookie_pool,ROOKIE_RANK,,34,,,34,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,UNMATCHED,,,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Does Devin Voisin have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-10232,veteran-10232,10232,Michael Wilson,michael wilson,WR,ARI,26.3,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,34,,,,34,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,1156,93.9,-59.9,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13776,rookie-13776,13776,Hank Beatty,hank beatty,WR,TEN,Not enough information,Not enough information,ROOKIE,rookie_pool,ROOKIE_RANK,,35,,,35,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,UNMATCHED,,,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Is Hank Beatty's feature-driven rank move (-15) supported by NFL team, role, and draft-capital context? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-6801,veteran-6801,6801,Tee Higgins,tee higgins,WR,CIN,27.4,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,35,,,,35,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,3613,45.4,-10.4,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-00-0033040,pdf-00-0033040,00-0033040,Tyreek Hill,tyreek hill,WR,MIA,32.3,PDF derived display artifact,PDF_FA,PDF Page 3 Free Agent,CANDIDATE_RANK,,,,35,35,CANDIDATE_RANK,,Not enough information,Not enough information,NOT_APPLICABLE,MATCHED,517,128.1,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; matched_roster_age_context; display_only_adp_context_available; internal_model_v4_phase7c_review_value_available | Meaningful movement; review receipts before promotion. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate | PDF free-agent availability context only.,PDF Free-Agent Availability Layer,docs/hq/parallel_lanes/overnight_accuracy_max_20260622/free_agent_pdf_page3_draftable_pool.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-5846,veteran-5846,5846,DK Metcalf,dk metcalf,WR,PIT,28.5,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,36,,,,36,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,2269,65.2,-29.2,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_team_status_warning | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Current team/status was repaired from local RotoWire source context. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13304,rookie-13304,13304,O'Mega Blake,omega blake,WR,needs_data,Not enough information,Not enough information,ROOKIE,rookie_pool,ROOKIE_RANK,,36,,,36,ROOKIE_RANK,Tier 3 - Value / Fit Targets,Rookie HQ,Not enough information,MISSING,UNMATCHED,,,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,rookie_warning=soft_note; manual_question=Does O'Mega Blake have a credible target-earning path on his NFL depth chart? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank.,Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13313,rookie-13313,13313,Emmanuel Henderson,emmanuel henderson,WR,SEA,23.3,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,37,,,37,ROOKIE_RANK,Tier 4 - Manual Review Upside,Rookie HQ,Not enough information,MISSING,UNMATCHED,,,,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Does Emmanuel Henderson have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-7588,veteran-7588,7588,Javonte Williams,javonte williams,RB,DAL,26.1,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,37,,,,37,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,2175,67,-30,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|no_historical_evidence_for_component|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_team_status_warning | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | no historical evidence for component | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Current team/status was repaired from local RotoWire source context. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13416,rookie-13416,13416,Roman Hemby,roman hemby,RB,LV,23.8,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,38,,,38,ROOKIE_RANK,Tier 4 - Manual Review Upside,Rookie HQ,Not enough information,MISSING,MATCHED,6,314.6,-272.6,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=manual_review; manual_question=Does Roman Hemby have a credible early-down, goal-line, or first-down role path? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-4866,veteran-4866,4866,Saquon Barkley,saquon barkley,RB,PHI,29.4,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,38,,,,38,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,3281,49.5,-11.5,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|rb_dynasty_age_curve_after_27_active|rb_age_cliff_guardrail_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | rb dynasty age curve after 27 active | rb age cliff guardrail active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13410,rookie-13410,13410,Chase Roberts,chase roberts,WR,LV,25.4,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,39,,,39,ROOKIE_RANK,Tier 4 - Manual Review Upside,Rookie HQ,Not enough information,MISSING,MATCHED,5,330,-287,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"rookie_warning=soft_note; manual_question=Is Chase Roberts's feature-driven rank move (-16) supported by NFL team, role, and draft-capital context? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-6790,veteran-6790,6790,D'Andre Swift,dandre swift,RB,CHI,27.4,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,39,,,,39,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,1208,92,-53,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|no_historical_evidence_for_component|partial_first_down_confidence_cap|rb_dynasty_age_curve_after_27_active|rb_age_window_caution_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | no historical evidence for component | Need stronger first-down evidence or accept confidence cap. | rb dynasty age curve after 27 active | rb age window caution active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
